Country,DataCenters
Afghanistan,1
Albania,1
Algeria,1
Andorra,2
Angola,3
Antigua and Barbuda,0
Argentina,29
Armenia,1
Australia,314
Austria,68
Azerbaijan,1
Bahamas,3
Bahrain,9
Bangladesh,7
Barbados,0
Belarus,9
Belgium,80
Belize,0
Benin,0
Bhutan,1
Bolivia,5
Bosnia and Herzegovina,2
Botswana,0
Brazil,197
Brunei,0
Bulgaria,24
Burkina Faso,0
Burundi,0
Cabo Verde,0
Cambodia,7
Cameroon,1
Canada,337
Central African Republic,0
Chad,0
Chile,59
China,449
Colombia,41
Comoros,0
Congo,0
Costa Rica,13
Côte d'Ivoire,2
Croatia,9
Cuba,0
Cyprus,6
Czech Republic,34
Democratic Republic of the Congo,0
Denmark,50
Djibouti,2
Dominica,0
Dominican Republic,3
Ecuador,15
Egypt,9
El Salvador,8
Equatorial Guinea,0
Eritrea,0
Estonia,16
Eswatini,0
Ethiopia,0
Fiji,0
Finland,48
France,322
Gabon,0
Gambia,0
Georgia,4
Germany,529
Ghana,7
Greece,14
Grenada,0
Guatemala,16
Guinea,0
Guinea-Bissau,0
Guyana,0
Haiti,0
Honduras,7
Hungary,15
Iceland,6
India,153
Indonesia,86
Iran,2
Iraq,0
Ireland,55
Israel,13
Italy,168
Jamaica,1
Japan,222
Jordan,7
Kazakhstan,25
Kenya,11
Kiribati,0
Kuwait,4
Kyrgyzstan,0
Laos,1
Latvia,27
Lebanon,2
Lesotho,0
Liberia,0
Libya,0
Liechtenstein,2
Lithuania,18
Luxembourg,23
Madagascar,1
Malawi,0
Malaysia,62
Maldives,0
Mali,0
Malta,6
Marshall Islands,0
Mauritania,0
Mauritius,3
Mexico,173
Micronesia,0
Moldova,7
Monaco,2
Mongolia,0
Montenegro,0
Morocco,4
Mozambique,4
Myanmar (Burma),6
Namibia,0
Nauru,0
Nepal,3
Netherlands,298
New Zealand,83
Nicaragua,5
Niger,0
Nigeria,11
North Korea,0
North Macedonia,6
Norway,47
Oman,13
Pakistan,11
Palau,0
Panama,20
Papua New Guinea,4
Paraguay,1
Peru,21
Philippines,40
Poland,144
Portugal,21
Qatar,7
Romania,31
Russian Federation,251
Rwanda,2
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
San Marino,0
Sao Tome and Principe,0
Saudi Arabia,14
Senegal,0
Serbia,12
Seychelles,0
Sierra Leone,0
Singapore,99
Slovakia,14
Slovenia,13
Solomon Islands,0
Somalia,0
South Africa,68
South Korea,43
South Sudan,0
Spain,143
Sri Lanka,3
Sudan,0
Suriname,0
Sweden,95
Switzerland,121
Syria,0
Tajikistan,0
Tanzania,6
Thailand,42
Timor-Leste,0
Togo,0
Tonga,0
Trinidad and Tobago,4
Tunisia,2
Turkey,35
Turkmenistan,0
Tuvalu,0
Uganda,2
Ukraine,58
United Arab Emirates,24
United Kingdom,523
United States of America,5427
Uruguay,6
Uzbekistan,5
Vanuatu,0
Venezuela,4
Vietnam,33
Yemen,0
Zambia,2
Zimbabwe,0
